
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
TP-SMD-6,0x4,0                   TP3                                4   1      1   1   1 1           1 0 VCC                 (2-11-13)
TP-SMD-6,0x4,0                   TP4                                5   1      1   1   1 1           1 0 GND                 (2-3-13)
U-ATTINY-SOIC14                  U1                                 1   1      1   1   1 1           1 0 5V                  (2-2-13)
U-ATTINY-SOIC14                  U1                                 1   1      2   2   1 2           2 0 MODE                (69-22-13)
U-ATTINY-SOIC14                  U1                                 1   1      3   3   1 3           3 0                     (0-0-0)
U-ATTINY-SOIC14                  U1                                 1   1      4   4   1 4           4 0 RESET               (2-1-13)
U-ATTINY-SOIC14                  U1                                 1   1      5   5   1 5           5 0 SWITCH              (2-4-13)
U-ATTINY-SOIC14                  U1                                 1   1      6   6   1 6           6 0 PWM                 (2-5-13)
U-ATTINY-SOIC14                  U1                                 1   1      7   7   1 7           7 0 MOSI                (2-6-13)
U-ATTINY-SOIC14                  U1                                 1   1      8   8   1 14         14 0 GND                 (2-3-13)
U-ATTINY-SOIC14                  U1                                 1   1      9   9   1 13         13 0 $2N85               (69-24-13)
U-ATTINY-SOIC14                  U1                                 1   1     10  10   1 12         12 0 $2N165              (12-25-13)
U-ATTINY-SOIC14                  U1                                 1   1     11  11   1 11         11 0 $2N669              (134-22-13)
U-ATTINY-SOIC14                  U1                                 1   1     12  12   1 10         10 0                     (0-0-0)
U-ATTINY-SOIC14                  U1                                 1   1     13  13   1 9           9 0 SCLK                (2-25-13)
U-ATTINY-SOIC14                  U1                                 1   1     14  14   1 8           8 0 MISO                (2-26-13)
U-INA219AIDCNR-SOT23             U4                                29   1      1   1   1 2           2 0 $2N756              (144-30-13)
U-INA219AIDCNR-SOT23             U4                                29   1      2   2   1 7           7 0 GND                 (2-3-13)
U-INA219AIDCNR-SOT23             U4                                29   1      3   3   1 5           5 0 SCLK                (2-25-13)
U-INA219AIDCNR-SOT23             U4                                29   1      4   4   1 1           1 0 $2N755              (144-29-13)
U-INA219AIDCNR-SOT23             U4                                29   1      5   5   1 8           8 0 GND                 (2-3-13)
U-INA219AIDCNR-SOT23             U4                                29   1      6   6   1 6           6 0 MOSI                (2-6-13)
U-INA219AIDCNR-SOT23             U4                                29   2      1   1   2 4           4 0 5V                  (2-2-13)
U-INA219AIDCNR-SOT23             U4                                29   3      1   1   3 3           3 0 GND                 (2-3-13)
U-TS78L05-SOT23                  U2                                21   1      1   1   1 3           3 0 GND                 (2-3-13)
U-TS78L05-SOT23                  U2                                21   1      2   2   1 2           2 0 VCC                 (2-11-13)
U-TS78L05-SOT23                  U2                                21   1      3   3   1 1           1 0 5V                  (2-2-13)
